index,city,state,zip_code,latitude,longitude,method,confidence,original_query,resolved_query
140,PUXICO,MO,639609122,36.9486,-90.1597,manual_fix,0.95,"PUXICO, MO","Manual fix for PUXICO, MO"
142,HOLDEN,MO,640409421,38.7141778,-93.9913303,direct,0.9,"HOLDEN, MO, USA","HOLDEN, MO, USA"
144,KINGSVILLE,MO,640612512,38.7430659,-94.0699427,direct,0.9,"KINGSVILLE, MO, USA","KINGSVILLE, MO, USA"
146,HALE,MO,646437113,39.6036334,-93.3424307,direct,0.9,"HALE, MO, USA","HALE, MO, USA"
151,SLATER,MO,653491328,39.2213138,-93.0613025,direct,0.9,"SLATER, MO, USA","SLATER, MO, USA"
157,CUBA,MO,654531636,38.0619,-91.4043,manual_fix,0.95,"CUBA, MO","Manual fix for CUBA, MO"
160,BOURBON,MO,654416298,38.1464,-91.2537,manual_fix,0.95,"BOURBON, MO","Manual fix for BOURBON, MO"
161,MEADVILLE,MO,646599201,39.786761,-93.3014659,direct,0.9,"MEADVILLE, MO, USA","MEADVILLE, MO, USA"
163,BELLE,MO,650133405,38.2856893,-91.7225073,direct,0.9,"BELLE, MO, USA","BELLE, MO, USA"
166,MALDEN,MO,638631506,36.5573,-89.9665,manual_fix,0.95,"MALDEN, MO","Manual fix for MALDEN, MO"
168,PORTAGEVILLE,MO,638731402,36.4292995,-89.7012995,direct,0.9,"PORTAGEVILLE, MO, USA","PORTAGEVILLE, MO, USA"
169,GREEN CITY,MO,635451361,40.268655,-92.953262,direct,0.9,"GREEN CITY, MO, USA","GREEN CITY, MO, USA"
170,THEODOSIA,MO,657616539,36.5828412,-92.6760005,direct,0.9,"THEODOSIA, MO, USA","THEODOSIA, MO, USA"
171,BERNIE,MO,638228901,36.6689446,-89.9687021,direct,0.9,"BERNIE, MO, USA","BERNIE, MO, USA"
173,NEW HAMPTON,MO,644710222,40.263609,-94.1960659,direct,0.9,"NEW HAMPTON, MO, USA","NEW HAMPTON, MO, USA"
174,EAGLEVILLE,MO,644428158,40.4691664,-93.9871736,direct,0.9,"EAGLEVILLE, MO, USA","EAGLEVILLE, MO, USA"
175,WASHINGTON,MO,630903135,37.9559513,-90.879099,direct,0.9,"WASHINGTON, MO, USA","WASHINGTON, MO, USA"
178,IBERIA,MO,654869331,38.0903154,-92.2926747,direct,0.9,"IBERIA, MO, USA","IBERIA, MO, USA"
180,LAKE OZARK,MO,650498658,38.1798796,-92.6226454,direct,0.9,"LAKE OZARK, MO, USA","LAKE OZARK, MO, USA"
182,NEW MADRID,MO,638691513,36.5749606,-89.6780945,direct,0.9,"NEW MADRID, MO, USA","NEW MADRID, MO, USA"
183,GRAVOIS MILLS,MO,650375394,38.3083615,-92.8254697,direct,0.9,"GRAVOIS MILLS, MO, USA","GRAVOIS MILLS, MO, USA"
185,SALISBURY,MO,652811405,39.4239175,-92.8015773,direct,0.9,"SALISBURY, MO, USA","SALISBURY, MO, USA"
187,EAGLEVILLE,MO,644427130,40.4691664,-93.9871736,direct,0.9,"EAGLEVILLE, MO, USA","EAGLEVILLE, MO, USA"
188,OSCEOLA,MO,647762934,38.0469778,-93.7035287,direct,0.9,"OSCEOLA, MO, USA","OSCEOLA, MO, USA"
192,OSCEOLA,MO,647766278,38.0469778,-93.7035287,direct,0.9,"OSCEOLA, MO, USA","OSCEOLA, MO, USA"
194,MT. VERNON,MO,657121407,37.1036666,-93.8185401,direct,0.9,"MT. VERNON, MO, USA","MT. VERNON, MO, USA"
198,WINFIELD,MO,633893451,38.9972723,-90.738458,direct,0.9,"WINFIELD, MO, USA","WINFIELD, MO, USA"
200,ELSBERRY,MO,633431345,39.1667151,-90.7809598,direct,0.9,"ELSBERRY, MO, USA","ELSBERRY, MO, USA"
203,FAYETTE,MO,652481471,39.1463012,-92.6833591,direct,0.9,"FAYETTE, MO, USA","FAYETTE, MO, USA"
205,STEELE,MO,638771714,36.0839594,-89.8292512,direct,0.9,"STEELE, MO, USA","STEELE, MO, USA"
208,MAYSVILLE,MO,644694030,39.8891658,-94.3618967,direct,0.9,"MAYSVILLE, MO, USA","MAYSVILLE, MO, USA"
213,MONTGOMERY CITY,MO,633612550,38.9775406,-91.5048844,direct,0.9,"MONTGOMERY CITY, MO, USA","MONTGOMERY CITY, MO, USA"
217,RICHMOND,MO,640852229,39.278622,-93.9768876,direct,0.9,"RICHMOND, MO, USA","RICHMOND, MO, USA"
227,RICH HILL,MO,647791372,38.0964191,-94.3610616,direct,0.9,"RICH HILL, MO, USA","RICH HILL, MO, USA"
229,HIGGINSVILLE,MO,640371420,39.0752352,-93.7172567,direct,0.9,"HIGGINSVILLE, MO, USA","HIGGINSVILLE, MO, USA"
231,SOUTH WEST CITY,MO,648639417,36.5265754,-94.6161071,direct,0.9,"SOUTH WEST CITY, MO, USA","SOUTH WEST CITY, MO, USA"
232,GOODMAN,MO,648438252,36.7393288,-94.4084118,direct,0.9,"GOODMAN, MO, USA","GOODMAN, MO, USA"
234,EL DORADO SPRINGS,MO,647442022,37.8769799,-94.0213303,direct,0.9,"EL DORADO SPRINGS, MO, USA","EL DORADO SPRINGS, MO, USA"
236,BURLINGTON JUNCTION,MO,644287249,40.4470801,-95.0665308,direct,0.9,"BURLINGTON JUNCTION, MO, USA","BURLINGTON JUNCTION, MO, USA"
246,CARUTHERSVILLE,MO,638302202,36.191663,-89.6548449,direct,0.9,"CARUTHERSVILLE, MO, USA","CARUTHERSVILLE, MO, USA"
256,EAST PRAIRIE,MO,638451160,36.7797776,-89.3856298,direct,0.9,"EAST PRAIRIE, MO, USA","EAST PRAIRIE, MO, USA"
258,CONCORDIA,MO,640208335,38.9824542,-93.5685013,direct,0.9,"CONCORDIA, MO, USA","CONCORDIA, MO, USA"
259,KNOB NOSTER,MO,653361184,38.7666798,-93.5585458,direct,0.9,"KNOB NOSTER, MO, USA","KNOB NOSTER, MO, USA"
264,GOLDEN CITY,MO,64748,37.3931054,-94.0938304,direct,0.9,"GOLDEN CITY, MO, USA","GOLDEN CITY, MO, USA"
266,WARRENTON,MO,633831065,38.810751,-91.150268,direct,0.9,"WARRENTON, MO, USA","WARRENTON, MO, USA"
267,NEW MADRID,MO,638691106,36.5749606,-89.6780945,direct,0.9,"NEW MADRID, MO, USA","NEW MADRID, MO, USA"
269,EDINA,MO,635374268,40.1675386,-92.1726821,direct,0.9,"EDINA, MO, USA","EDINA, MO, USA"
278,BRUNSWICK,MO,652361468,39.4233577,-93.1304782,direct,0.9,"BRUNSWICK, MO, USA","BRUNSWICK, MO, USA"
279,KENNETT,MO,638573834,36.2356,-90.0537,manual_fix,0.95,"KENNETT, MO","Manual fix for KENNETT, MO"
280,LAWSON,MO,640629402,39.4383387,-94.2041096,direct,0.9,"LAWSON, MO, USA","LAWSON, MO, USA"
288,COLE CAMP,MO,653251256,38.4600212,-93.2027036,direct,0.9,"COLE CAMP, MO, USA","COLE CAMP, MO, USA"
289,KENNETT,MO,638573268,36.2356,-90.0537,manual_fix,0.95,"KENNETT, MO","Manual fix for KENNETT, MO"
290,HAYTI,MO,638511617,36.2367,-89.7545,manual_fix,0.95,"HAYTI, MO","Manual fix for HAYTI, MO"
291,STEELE,MO,638771436,36.0839594,-89.8292512,direct,0.9,"STEELE, MO, USA","STEELE, MO, USA"
292,PILOT GROVE,MO,652761005,38.874744,-92.9115825,direct,0.9,"PILOT GROVE, MO, USA","PILOT GROVE, MO, USA"
293,GIDEON,MO,638489253,36.4520057,-89.9192558,direct,0.9,"GIDEON, MO, USA","GIDEON, MO, USA"
299,SAINT JAMES,MO,655591078,37.9992,-91.6107,manual_fix,0.95,"SAINT JAMES, MO","Manual fix for SAINT JAMES, MO"
301,WAYNESVILLE,MO,655832339,37.8141419,-92.2266876,direct,0.9,"WAYNESVILLE, MO, USA","WAYNESVILLE, MO, USA"
303,ROGERVILLE,MO,657429357,37.1176314,-93.0572272,fuzzy_match,0.6,"ROGERSVILLE, MO, USA","ROGERSVILLE, MO, USA"
310,KING CITY,MO,644637812,40.0513843,-94.524125,direct,0.9,"KING CITY, MO, USA","KING CITY, MO, USA"
312,MALDEN,MO,638631358,36.5573,-89.9665,manual_fix,0.95,"MALDEN, MO","Manual fix for MALDEN, MO"
313,PLATTSBURG,MO,644771424,39.5647,-94.4619,manual_fix,0.95,"PLATTSBURG, MO","Manual fix for PLATTSBURG, MO"
